time;open;high;low;close;Volume;;;;;
2006-04-04;1089.371;1089.371;1089.371;1089.371;31148757;;;;;
2006-04-05;1091.175;1100.558;1089.549;1099.97;32936914;;;;;
2006-04-06;1102.543;1109.683;1097.316;1103.2371;36167049;;;;;
2006-04-07;1102.944;1105.104;1091.894;1103.1541;32570860;;;;;
2006-04-10;1104.321;1118.082;1100.6899;1117.91;32067520;;;;;
2006-04-11;1120.163;1126.089;1112.007;1123.308;35607520;;;;;
2006-04-12;1123.782;1123.782;1116.149;1117.073;30333845;;;;;
2006-04-13;1116.837;1122.394;1093.5081;1093.925;33824146;;;;;
2006-04-14;1091.689;1118.665;1091.673;1118.6071;33527962;;;;;
2006-04-17;1120.186;1129.1541;1114.527;1124.4139;35704548;;;;;
2006-04-18;1127.506;1135.448;1119.271;1131.281;32317223;;;;;
2006-04-19;1135.614;1140.407;1125.204;1138.241;34322898;;;;;
2006-04-20;1139.642;1142.538;1127.09;1134.381;37885651;;;;;
2006-04-21;1133.205;1152.8879;1127.6479;1149.158;40772910;;;;;
2006-04-24;1142.698;1142.698;1142.698;1142.698;45936219;;;;;
2006-04-25;1139.495;1149.5439;1123.099;1141.9301;38611125;;;;;
2006-04-26;1142.902;1162.021;1142.074;1155.726;41824301;;;;;
2006-04-27;1157.379;1159.8979;1145.26;1155.2679;31980451;;;;;
2006-04-28;1143.587;1173.88;1133.193;1172.347;40801858;;;;;
2006-05-08;1179.5811;1218.859;1179.5811;1218.4449;44912821;;;;;
2006-05-09;1226.3149;1252.759;1222.679;1251.611;55993861;;;;;
2006-05-10;1257.984;1273.684;1243.472;1265.933;55667043;;;;;
2006-05-11;1267.219;1294.868;1254.348;1255.035;61133725;;;;;
2006-05-12;1255.234;1296.379;1252.677;1296.257;54920331;;;;;
2006-05-15;1312.137;1352.412;1301.797;1352.155;73534000;;;;;
2006-05-16;1368.134;1387.397;1322.136;1331.127;79658170;;;;;
2006-05-17;1331.686;1356.132;1306.871;1335.5229;61823287;;;;;
2006-05-18;1322.652;1340.5229;1301.109;1331.201;52056363;;;;;
2006-05-19;1334.069;1371.222;1329.317;1366.097;67123860;;;;;
2006-05-22;1366.316;1387.571;1360.348;1373.674;66262172;;;;;
2006-05-23;1365.1;1365.1;1316.549;1317.6541;56872388;;;;;
2006-05-24;1308.2419;1308.2419;1308.2419;1308.2419;51176632;;;;;
2006-05-25;1304.6949;1316.475;1285.728;1307.697;34046436;;;;;
2006-05-26;1312.236;1331.452;1309.46;1331.02;36385665;;;;;
2006-05-29;1339.896;1366.843;1330.6281;1366.292;44480011;;;;;
2006-05-30;1375.298;1384.684;1360.548;1378.756;44761027;;;;;
2006-05-31;1377.449;1386.942;1355.007;1365.451;47335883;;;;;
2006-06-01;1364.178;1403.265;1362.936;1402.879;53493453;;;;;
2006-06-02;1406.6169;1411.78;1382.004;1390.116;64109162;;;;;
2006-06-05;1391.4611;1403.304;1362.723;1403.163;55101819;;;;;
2006-06-06;1400.267;1413.108;1391.895;1399.142;46835278;;;;;
2006-06-07;1398.184;1398.184;1319.698;1320.233;52047647;;;;;
2006-06-08;1309.0699;1331.885;1286.899;1325.979;45677509;;;;;
2006-06-09;1320.813;1329.835;1293.046;1294.1851;37392623;;;;;
2006-06-12;1283.827;1308.121;1275.399;1297.67;25033331;;;;;
2006-06-13;1296.408;1312.132;1284.62;1298.276;27823031;;;;;
2006-06-14;1291.6899;1291.6899;1269.516;1283.88;28801661;;;;;
2006-06-15;1283.7209;1300.111;1280.501;1285.385;23241302;;;;;
2006-06-16;1290.0031;1318.019;1290.0031;1318.01;28408032;;;;;
2006-06-19;1306.2629;1341.99;1294.9041;1334.8929;30726258;;;;;
2006-06-20;1333.619;1341.244;1323.7841;1338.223;27797058;;;;;
2006-06-21;1336.842;1347.002;1320.411;1333.532;32445479;;;;;
2006-06-22;1331.926;1341.73;1326.146;1331.553;25953157;;;;;
2006-06-23;1329.106;1340.266;1319.506;1339.446;25651644;;;;;
2006-06-26;1341.609;1363.569;1341.609;1363.413;29595920;;;;;
2006-06-27;1365.043;1368.411;1354.088;1363.896;26454734;;;;;
2006-06-28;1361.792;1366.338;1353.6331;1362.885;25791657;;;;;
2006-06-29;1365.252;1395.243;1365.252;1395.124;42439201;;;;;
