time;open;high;low;close;Volume;Futures Open Interest;;;;
2010-04-16;1793.000000000006;1831.000000000006;1756.2000000000057;1774.2000000000057;48988;2702;;;;
2010-04-19;1739.000000000006;1741.000000000006;1509.2000000000057;1544.2000000000057;109733;3954;;;;
2010-04-20;1552.2000000000057;1583.000000000006;1511.800000000006;1559.6000000000058;141862;4496;;;;
2010-04-21;1558.000000000006;1624.2000000000057;1551.000000000006;1609.000000000006;114531;5062;;;;
2010-04-22;1603.2000000000057;1617.400000000006;1554.000000000006;1583.000000000006;133247;5383;;;;
2010-04-23;1584.000000000006;1609.000000000006;1564.000000000006;1578.6000000000058;116981;5808;;;;
2010-04-26;1586.000000000006;1595.000000000006;1554.800000000006;1567.800000000006;112229;7079;;;;
2010-04-27;1544.2000000000057;1548.000000000006;1450.6000000000058;1464.800000000006;139961;7386;;;;
2010-04-28;1444.6000000000058;1485.6000000000058;1437.2000000000057;1475.800000000006;128530;7092;;;;
2010-04-29;1484.000000000006;1500.6000000000058;1425.2000000000057;1457.400000000006;116254;8705;;;;
2010-04-30;1446.000000000006;1462.6000000000058;1386.000000000006;1432.800000000006;184157;8297;;;;
2010-05-04;1422.800000000006;1437.400000000006;1403.800000000006;1412.400000000006;150123;8261;;;;
2010-05-05;1389.400000000006;1430.000000000006;1374.000000000006;1421.6000000000058;145542;9600;;;;
2010-05-06;1421.6000000000058;1426.400000000006;1296.6000000000058;1315.6000000000058;170221;10150;;;;
2010-05-07;1271.000000000006;1302.800000000006;1205.2000000000057;1239.000000000006;240106;8282;;;;
2010-05-10;1253.000000000006;1274.000000000006;1213.000000000006;1255.000000000006;201919;9873;;;;
2010-05-11;1292.000000000006;1300.800000000006;1140.2000000000057;1159.400000000006;224626;8987;;;;
2010-05-12;1152.000000000006;1198.000000000006;1125.000000000006;1172.2000000000057;273131;8144;;;;
2010-05-13;1190.800000000006;1258.6000000000058;1166.000000000006;1245.800000000006;217422;8276;;;;
2010-05-14;1223.000000000006;1237.800000000006;1193.400000000006;1204.2000000000057;185453;6237;;;;
2010-05-17;1183.000000000006;1183.2000000000057;1051.000000000006;1070.6000000000058;117625;4126;;;;
2010-05-18;1060.000000000006;1151.000000000006;1046.000000000006;1122.6000000000058;40298;1924;;;;
2010-05-19;1105.2000000000057;1151.800000000006;1065.6000000000058;1110.2000000000057;14913;1159;;;;
2010-05-20;1113.2000000000057;1157.000000000006;1054.4000000000055;1073.4000000000055;293133;14774;;;;
2010-05-21;1014.2000000000057;1115.000000000006;989.2000000000057;1101.2000000000057;307325;13329;;;;
2010-05-24;1126.2000000000057;1245.6000000000058;1120.2000000000057;1220.8000000000056;300512;15770;;;;
2010-05-25;1192.2000000000057;1201.4000000000055;1123.2000000000057;1145.8000000000056;288927;15644;;;;
2010-05-26;1158.4000000000055;1191.000000000006;1129.8000000000056;1141.2000000000057;326246;15219;;;;
2010-05-27;1137.2000000000057;1222.000000000006;1102.2000000000057;1208.6000000000058;325500;16397;;;;
2010-05-28;1242.2000000000057;1254.2000000000057;1165.2000000000057;1182.000000000006;306690;16764;;;;
2010-05-31;1162.2000000000057;1211.000000000006;1098.4000000000055;1124.000000000006;337678;18662;;;;
2010-06-01;1092.2000000000057;1132.8000000000056;1044.2000000000057;1072.8000000000056;420130;17746;;;;
2010-06-02;1070.2000000000057;1093.6000000000058;1030.4000000000055;1074.2000000000057;343923;18691;;;;
2010-06-03;1112.000000000006;1119.2000000000057;1053.2000000000057;1075.000000000006;342961;18712;;;;
2010-06-04;1052.2000000000057;1080.000000000006;1034.4000000000055;1067.8000000000056;324387;16354;;;;
2010-06-07;1012.2000000000057;1030.2000000000057;992.2000000000057;1017.0000000000059;289681;15673;;;;
2010-06-08;1022.0000000000059;1038.2000000000057;995.2000000000057;1011.6000000000058;225087;16526;;;;
2010-06-09;1032.6000000000058;1120.2000000000057;1012.6000000000058;1098.2000000000057;314559;16740;;;;
2010-06-10;1088.2000000000057;1103.2000000000057;1075.2000000000057;1084.2000000000057;232630;14040;;;;
2010-06-11;1100.2000000000057;1109.000000000006;1077.2000000000057;1085.2000000000057;169575;10034;;;;
2010-06-17;1103.4000000000055;1104.4000000000055;1048.4000000000055;1064.8000000000056;157022;16693;;;;
2010-06-18;1050.8000000000056;1067.4000000000055;994.2000000000057;1015.8000000000056;249981;19752;;;;
2010-06-21;1037.6000000000054;1105.0000000000055;1006.4000000000055;1097.6000000000054;277989;21545;;;;
2010-06-22;1084.0000000000055;1103.4000000000055;1081.6000000000054;1088.0000000000055;220831;19828;;;;
2010-06-23;1073.4000000000055;1090.0000000000055;1031.4000000000055;1050.0000000000055;238316;19132;;;;
2010-06-24;1059.4000000000055;1098.4000000000055;1038.4000000000055;1055.2000000000057;297949;18877;;;;
2010-06-25;1047.4000000000055;1061.2000000000057;1024.4000000000055;1040.4000000000055;249654;18599;;;;
2010-06-28;1040.0000000000055;1052.2000000000057;1019.8000000000056;1026.6000000000054;210541;20726;;;;
2010-06-29;1030.0000000000055;1035.2000000000057;886.8000000000056;898.8000000000056;298585;24070;;;;
2010-06-30;868.4000000000055;881.4000000000055;851.4000000000055;861.6000000000054;247753;21872;;;;
2010-07-01;866.2000000000057;873.0000000000055;824.0000000000055;834.4000000000055;243922;23657;;;;
2010-07-02;838.4000000000055;853.4000000000055;767.2000000000057;832.0000000000055;367858;24119;;;;
2010-07-05;823.4000000000055;838.0000000000055;768.0000000000055;819.8000000000056;359351;22692;;;;
2010-07-06;809.8000000000056;873.4000000000055;799.6000000000054;846.8000000000056;365680;22426;;;;
2010-07-07;846.4000000000055;870.4000000000055;834.6000000000054;853.2000000000057;318135;21290;;;;
2010-07-08;879.4000000000055;887.8000000000056;850.4000000000055;863.0000000000055;254951;21332;;;;
2010-07-09;861.6000000000054;956.4000000000055;851.4000000000055;940.4000000000055;327713;20855;;;;
2010-07-12;940.4000000000055;981.4000000000055;935.6000000000054;954.6000000000054;289268;19620;;;;
2010-07-13;939.4000000000055;941.4000000000055;907.0000000000055;920.4000000000055;269627;14223;;;;
2010-07-14;928.4000000000055;967.6000000000054;918.4000000000055;930.0000000000055;209930;10544;;;;
2010-07-15;926.8000000000056;1014.8000000000056;884.8000000000056;904.2000000000057;392898;20498;;;;
2010-07-16;889.8000000000056;906.6000000000058;864.8000000000056;896.0000000000055;360667;20799;;;;
2010-07-19;877.0000000000055;992.0000000000055;870.4000000000055;968.2000000000057;379966;23283;;;;
2010-07-20;978.8000000000056;1037.8000000000056;977.2000000000057;1022.0000000000055;390979;22339;;;;
2010-07-21;1025.8000000000056;1035.2000000000057;1010.6000000000058;1020.8000000000056;308125;23282;;;;
2010-07-22;1016.8000000000056;1062.4000000000055;1013.0000000000055;1051.4000000000055;385991;24307;;;;
2010-07-23;1066.8000000000056;1077.6000000000058;1042.0000000000055;1059.0000000000055;326508;22706;;;;
2010-07-26;1068.8000000000056;1080.0000000000055;1046.0000000000055;1070.6000000000058;295351;24625;;;;
2010-07-27;1074.6000000000058;1076.6000000000058;1050.4000000000055;1059.6000000000058;298118;23121;;;;
2010-07-28;1057.0000000000055;1165.4000000000055;1052.0000000000055;1156.0000000000055;354307;26047;;;;
2010-07-29;1164.8000000000056;1172.8000000000056;1139.6000000000058;1155.4000000000055;274230;23700;;;;
2010-07-30;1149.8000000000056;1157.4000000000055;1132.0000000000055;1146.4000000000055;241645;22428;;;;
2010-08-02;1165.0000000000055;1227.6000000000058;1157.0000000000055;1204.8000000000056;288420;25621;;;;
2010-08-03;1204.8000000000056;1211.8000000000056;1125.8000000000056;1160.8000000000056;322000;22224;;;;
2010-08-04;1136.6000000000058;1168.8000000000056;1111.8000000000056;1148.8000000000056;382739;24218;;;;
2010-08-05;1149.6000000000058;1157.4000000000055;1098.6000000000058;1120.0000000000055;319116;21171;;;;
2010-08-06;1126.8000000000056;1200.4000000000055;1108.8000000000056;1190.6000000000058;322329;23732;;;;
2010-08-09;1193.8000000000056;1208.8000000000056;1168.2000000000057;1187.6000000000058;288638;21326;;;;
2010-08-10;1190.0000000000055;1197.4000000000055;1104.6000000000058;1119.6000000000058;324580;19506;;;;
2010-08-11;1115.8000000000056;1149.8000000000056;1101.8000000000056;1116.8000000000056;359463;18164;;;;
2010-08-12;1098.8000000000056;1145.6000000000058;1086.8000000000056;1098.8000000000056;337014;17863;;;;
2010-08-13;1102.8000000000056;1139.6000000000058;1087.0000000000055;1127.6000000000058;299186;17728;;;;
2010-08-16;1125.8000000000056;1219.8000000000056;1120.4000000000055;1209.8000000000056;269722;16892;;;;
2010-08-17;1209.8000000000056;1238.6000000000058;1205.6000000000058;1226.4000000000055;176759;10563;;;;
2010-08-18;1226.4000000000055;1245.0000000000055;1209.8000000000056;1224.6000000000058;54738;6117;;;;
2010-08-19;1225.2000000000057;1276.2000000000057;1212.4000000000055;1244.4000000000055;310102;28031;;;;
2010-08-20;1231.4000000000055;1239.8000000000056;1171.2000000000057;1181.6000000000058;320487;26394;;;;
2010-08-23;1180.8000000000056;1198.2000000000057;1156.6000000000058;1169.6000000000058;252178;27326;;;;
2010-08-24;1158.8000000000056;1219.000000000006;1135.6000000000058;1183.000000000006;340393;26470;;;;
2010-08-25;1171.2000000000057;1182.2000000000057;1113.000000000006;1124.000000000006;328356;26769;;;;
2010-08-26;1150.000000000006;1154.2000000000057;1108.2000000000057;1118.6000000000058;273128;27851;;;;
2010-08-27;1122.2000000000057;1135.2000000000057;1108.4000000000055;1127.8000000000056;271393;25440;;;;
2010-08-30;1145.2000000000057;1209.000000000006;1145.2000000000057;1189.000000000006;258909;27880;;;;
2010-08-31;1178.2000000000057;1182.2000000000057;1163.2000000000057;1172.6000000000058;198508;26318;;;;
2010-09-01;1185.2000000000057;1216.4000000000055;1131.8000000000056;1142.2000000000057;310156;27086;;;;
2010-09-02;1180.2000000000057;1209.4000000000055;1172.4000000000055;1187.4000000000055;292539;25167;;;;
2010-09-03;1193.2000000000057;1199.8000000000056;1161.6000000000058;1184.8000000000056;265581;23587;;;;
2010-09-06;1208.2000000000057;1253.8000000000056;1208.2000000000057;1245.000000000006;250197;26264;;;;
2010-09-07;1250.2000000000057;1258.2000000000057;1229.000000000006;1248.4000000000055;206604;27242;;;;
2010-09-08;1247.2000000000057;1258.8000000000056;1232.2000000000057;1251.2000000000057;193194;26107;;;;
2010-09-09;1264.2000000000057;1267.000000000006;1195.8000000000056;1206.000000000006;244478;24059;;;;
2010-09-10;1215.2000000000057;1216.2000000000057;1174.2000000000057;1203.6000000000058;217296;24624;;;;
2010-09-13;1212.2000000000057;1244.000000000006;1195.8000000000056;1228.6000000000058;206588;22149;;;;
2010-09-14;1230.000000000006;1255.2000000000057;1216.2000000000057;1229.000000000006;216894;16737;;;;
2010-09-15;1229.000000000006;1232.8000000000056;1176.6000000000058;1188.6000000000058;171429;13494;;;;
2010-09-16;1183.400000000006;1184.400000000006;1095.2000000000062;1112.000000000006;235869;21826;;;;
2010-09-17;1128.000000000006;1137.400000000006;1116.400000000006;1124.000000000006;212281;22675;;;;
2010-09-20;1129.400000000006;1140.400000000006;1096.400000000006;1125.2000000000062;209602;23457;;;;
2010-09-21;1129.400000000006;1135.2000000000062;1108.6000000000058;1122.6000000000058;163975;21201;;;;
2010-09-27;1130.6000000000058;1163.2000000000062;1128.2000000000062;1156.2000000000062;157948;21617;;;;
2010-09-28;1148.400000000006;1153.800000000006;1137.800000000006;1141.2000000000062;120672;19058;;;;
2010-09-29;1141.800000000006;1160.400000000006;1129.800000000006;1137.2000000000062;136850;18318;;;;
2010-09-30;1128.400000000006;1203.400000000006;1120.000000000006;1186.400000000006;189288;17389;;;;
2010-10-08;1221.000000000006;1322.2000000000062;1214.800000000006;1310.6000000000058;150243;19881;;;;
2010-10-11;1323.400000000006;1410.800000000006;1323.400000000006;1382.2000000000062;208814;17039;;;;
2010-10-12;1372.800000000006;1412.6000000000058;1371.400000000006;1406.6000000000058;172451;15396;;;;
2010-10-13;1416.400000000006;1457.2000000000062;1409.400000000006;1442.6000000000058;182960;11797;;;;
2010-10-14;1468.000000000006;1497.6000000000058;1458.8000000000056;1471.6000000000058;176158;18424;;;;
2010-10-15;1455.6000000000058;1620.400000000006;1453.6000000000058;1590.000000000006;263141;25734;;;;
2010-10-18;1615.6000000000058;1647.400000000006;1549.8000000000056;1571.8000000000056;302110;25731;;;;
2010-10-19;1582.2000000000057;1660.000000000006;1553.2000000000057;1630.2000000000057;308628;28270;;;;
2010-10-20;1618.2000000000057;1738.8000000000056;1602.6000000000058;1676.6000000000058;378770;28139;;;;
